date,internal_id,close,tradable_volume,mkt_cap,volat_21,fx_to_usd
20200102,40014265,,320804,7976135880,0.011306,0.10673042
20200102,40044140,130.7,7473,263041278878,0.00689,1.11659982
20200102,40044631,208.6,300022,7645633863,0.011913,0.14942546
20200102,40048791,1259.5,916046,11546667450,0.014953,0.01312699
20200102,40060061,28.595,10230,24788425973,0.013682,1.11659982
20200102,41002414,25.6,8367,142924777,0.020289,1.11659982
20200102,41009729,106.8,384184,8305328173,0.016257,0.11353444
20200102,41010611,32.5,0,105033180,0,0.01312699
20200103,40014265,443.8,298623,7981626163,0.011294,0.10656323
20200103,40044140,131.38,6181,264575551481,0.006927,1.11729971
20200103,40044631,206.6,410085,7576405195,0.012082,0.14950588
20200103,40060061,28.275,11360,24526388094,0.013936,1.11729971
20200103,41002414,26.1,15069,145807612,0.020717,1.11729971
20200103,41009729,108.2,90490,8403037316,0.013143,0.11338383
20200103,41010611,37.5,1000,120859754,0.031998,0.01309099
20200106,40014265,443.8,0,7981626163,0.011294,0.10621349
20200106,40044140,129.54,6144,261173605925,0.006338,1.11859951
20200106,40044631,206.5,423345,7580444593,0.011569,0.14965803
20200106,40048791,1271.5,1313605,11703273851,0.011999,0.013158
20200106,40060061,28.195,8130,24485446131,0.011667,1.11859951
20200106,41002414,27,19456,151010934,0.021098,1.11859951
20200106,41009729,107,206992,8323149136,0.013474,0.11356539
20200106,41010611,40,15542,129576928,0.034403,0.013158
20200107,40014265,443.8,390600,7925378869,0.010963,0.10581227
20200107,40044140,131.46,7175,263907500077,0.006801,1.11380032
20200107,40044631,204.4,306588,7473046647,0.011673,0.14905351
20200107,40048791,1325.5,2880780,12168779328,0.01479,0.013124
20200107,40060061,29.225,9409,25271042294,0.013132,1.11380032
20200107,41002414,28.4,49667,158159645,0.023551,1.11380032
20200107,41009729,111.2,252748,8597421147,0.015451,0.11287701
20200107,41010611,40,0,129242086,0.034403,0.013124
20200108,40014265,443,362050,7911929651,0.011009,0.10582347
20200108,40044140,131.04,7615,262591997917,0.006765,1.11180043
20200108,40044631,205.6,483335,7503498645,0.01166,0.14878738
20200108,40048791,1334,1825122,12233744521,0.014751,0.01310999
20200108,40060061,29.685,30085,25622717379,0.013164,1.11180043
20200108,41002414,29.9,37913,166214164,0.025732,1.11180043
20200108,41009729,108.8,377394,8406172113,0.016627,0.11280061
20200108,41010611,40,0,129104165,0.034403,0.01310999
20200109,40014265,448,347179,7967167307,0.010971,0.10537297
20200109,40044140,131.02,2789,262244902887,0.006706,1.11050034
20200109,40044631,,379899,7606449362,0.012137,0.14858841
20200109,40048791,1276.5,2977280,11665365478,0.01798,0.01306401
20200109,40060061,29.79,25230,25683280436,0.013162,1.11050034
20200109,41002414,27.6,36487,153249046,0.03185,1.11050034
20200109,41009729,108.6,151231,8376546397,0.016691,0.11261008
20200109,41010611,42.5,0,136692015,0.03607,0.01306401
20200110,40014265,448.2,312762,7960071619,0.010934,0.10523214
20200110,40044140,130.3,3375,261155853461,0.006692,1.11199948
20200110,40044631,209.5,241414,7646514171,0.011969,0.14880067
20200110,40048791,1259.5,1170569,11504719563,0.018288,0.013058
20200110,40060061,29.59,7221,25545290381,0.013386,1.11199948
20200110,41002414,28.45,24725,158181925,0.03222,1.11199948
20200110,41009729,109,719169,8400777153,0.016568,0.11252138
20200110,41010611,45,4396,144666196,0.037198,0.013058
20200113,40014265,454.4,328569,8098477876,0.011058,0.10560108
20200113,40044140,129.26,3936,259467565537,0.006711,1.11369984
20200113,40044631,212.1,350395,7753756520,0.012203,0.14903796
20200113,40048791,1280,998118,11623928495,0.01851,0.01298201
20200113,40060061,29.385,5400,25407103132,0.013511,1.11369984
20200113,41002414,28.6,20436,159259078,0.032219,1.11369984
20200113,41009729,111.4,126436,8580631220,0.016638,0.11245432
20200113,41010611,45,0,143824263,0.037198,0.01298201
20200114,40014265,460.2,410086,8212427876,0.010359,0.10573731
20200114,40044140,130.92,40717,262611091383,0.007228,1.11290041
20200114,40044631,213.2,277725,7787817701,0.012142,0.14892033
20200114,40048791,1303,1456774,11864695063,0.018732,0.013017
20200114,40060061,29.65,8814,25617827419,0.01254,1.11290041
20200114,41002414,30.9,52465,171943113,0.035048,1.11290041
20200114,41009729,109,215514,8415549249,0.016922,0.11271924
20200114,41010611,45,0,144211988,0.037198,0.013017
20200115,40014265,444,794050,7933147590,0.014043,0.10586828
20200115,40044140,130.22,3278,261934570227,0.007214,1.11600043
20200115,40044631,215.4,403395,7890505875,0.012118,0.14934289
20200115,40048791,1338.5,2401296,12198235774,0.018901,0.01302799
20200115,40060061,29.935,3669,25936114930,0.012536,1.11600043
20200115,41002414,,50492,174096068,0.035021,1.11600043
20200115,41009729,109.6,116495,8475247902,0.015871,0.1128974
20200115,41010611,45,0,144333734,0.037198,0.01302799
20200116,40014265,453,582246,8055916810,0.01446,0.10537075
20200116,40044140,130.3,8080,261390711860,0.007185,1.1129995
20200116,40044631,214.5,411630,7837405262,0.012067,0.14896026
20200116,40048791,1320,1338794,12076744886,0.019071,0.01307901
20200116,40060061,30.505,6637,26358900763,0.012909,1.1129995
20200116,41002414,29.85,23234,166115175,0.037024,1.1129995
20200116,41009729,107.4,80832,8281936089,0.016868,0.11258218
20200116,41010611,47.5,0,152948864,0.037911,0.01307901
20200117,40014265,456.4,328448,8095396403,0.01437,0.10509832
20200117,40044140,130.6,3959,261121809561,0.007215,1.10930049
20200117,40044631,219.9,770757,8006801502,0.013199,0.14844283
20200117,40048791,1334.5,934821,12162717213,0.018584,0.01302899
20200117,40060061,30.49,63542,26258379706,0.01294,1.10930049
20200117,41002414,30.8,23638,170832275,0.037418,1.10930049
20200117,41009729,107.8,65875,8283870186,0.016629,0.11219063
20200117,41010611,47.5,0,152363986,0.037911,0.01302899
20200120,40014265,454.4,262758,8054334517,0.014051,0.10502547
20200120,40044140,131.6,3697,263348708058,0.007399,1.10849998
20200120,40044631,219.8,242261,7998173851,0.011067,0.14835034
20200120,40048791,1327.5,364598,12069214300,0.018594,0.01299701
20200120,40060061,30.7,4910,26420154967,0.012752,1.10849998
